Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,155,1,0.04,0.01,0.0,0.02,0.01,0.02,0.0,0.09,-0.02,0.09,0.01
1,156,0,0.05,0.01,0.0,0.03,0.0,0.02,0.0,0.04,0.01,0.04,-0.01
0,157,1,0.01,-0.01,0.0,0.01,0.0,-0.01,0.01,0.02,0.0,0.02,0.01
1,158,0,0.02,0.01,0.0,0.01,-0.01,0.0,-0.01,-0.01,0.0,-0.01,0.0
0,159,1,-0.07,0.0,0.0,-0.06,-0.01,-0.04,0.0,-0.02,0.03,0.0,-0.02
0,160,0,0.0,0.0,0.0,0.03,-0.01,-0.01,0.0,0.01,0.0,-0.03,0.01
1,161,0,-0.02,0.05,0.03,0.06,0.0,0.02,0.12,0.03,0.06,0.08,0.0
0,162,1,0.04,0.02,0.01,0.1,0.0,0.04,0.05,0.02,0.02,0.03,0.0
1,163,0,0.01,-0.01,0.01,0.02,0.0,-0.01,0.01,0.0,0.0,0.01,-0.01
0,164,1,0.01,-0.08,-0.03,0.0,0.0,-0.02,-0.11,0.02,-0.06,-0.06,-0.03
1,165,0,0.0,-0.04,-0.01,-0.06,0.0,-0.03,-0.04,0.05,-0.01,0.0,-0.04
1,166,1,0.0,-0.03,-0.01,0.01,0.0,0.03,-0.01,0.04,-0.01,-0.03,-0.01
1,167,1,0.02,0.02,0.0,-0.1,0.0,0.02,-0.01,0.04,-0.03,-0.01,0.01
1,168,1,-0.01,0.01,0.0,0.02,0.0,0.02,0.0,0.02,-0.04,0.0,0.03
1,169,1,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.08,-0.01,0.05,0.0
1,170,1,0.02,-0.01,0.01,0.08,0.0,0.0,0.0,0.03,0.03,0.0,-0.01
1,171,1,-0.01,-0.02,0.01,0.01,-0.01,0.01,-0.01,0.02,0.04,-0.03,0.03
0,172,1,-0.04,-0.05,-0.01,-0.01,0.0,0.01,-0.02,-0.07,-0.03,-0.03,0.01
1,173,0,-0.04,-0.02,-0.01,0.02,-0.01,-0.03,-0.01,-0.04,-0.03,-0.04,0.0
0,174,1,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.05,-0.08,-0.03,-0.01
1,175,0,0.01,-0.02,0.0,0.03,0.0,-0.01,0.01,-0.05,0.04,0.01,0.01
