Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,734,1,0.277,0.277,0.163,0.42,0.04,0.603,0.173,0.463,0.287,0.547,0.497
1,735,0,0.273,0.27,0.15,0.413,0.04,0.603,0.157,0.473,0.28,0.533,0.48
0,736,1,0.27,0.243,0.147,0.397,0.04,0.583,0.147,0.39,0.29,0.537,0.473
0,737,0,0.267,0.233,0.15,0.403,0.04,0.573,0.153,0.373,0.3,0.543,0.46
1,738,0,0.263,0.227,0.153,0.417,0.04,0.57,0.163,0.377,0.313,0.55,0.453
0,739,1,0.263,0.227,0.19,0.44,0.04,0.58,0.187,0.387,0.337,0.57,0.45
1,740,0,0.267,0.217,0.193,0.443,0.04,0.587,0.177,0.41,0.323,0.557,0.447
1,741,1,0.273,0.213,0.183,0.42,0.04,0.593,0.153,0.427,0.3,0.55,0.463
0,742,1,0.28,0.203,0.153,0.407,0.04,0.587,0.13,0.447,0.28,0.53,0.47
0,743,0,0.273,0.197,0.133,0.393,0.04,0.587,0.117,0.433,0.273,0.523,0.473
1,744,0,0.26,0.19,0.127,0.393,0.04,0.583,0.113,0.423,0.277,0.523,0.463
0,745,1,0.24,0.187,0.117,0.383,0.04,0.583,0.107,0.4,0.263,0.52,0.45
1,746,0,0.23,0.183,0.113,0.38,0.037,0.573,0.1,0.38,0.25,0.503,0.453
0,747,1,0.227,0.177,0.11,0.387,0.037,0.567,0.097,0.363,0.227,0.48,0.43
1,748,0,0.23,0.18,0.11,0.397,0.037,0.567,0.093,0.36,0.233,0.477,0.42
0,749,1,0.23,0.183,0.113,0.41,0.04,0.573,0.093,0.343,0.243,0.483,0.4
0,750,0,0.23,0.19,0.123,0.407,0.04,0.583,0.097,0.33,0.267,0.497,0.403
0,751,0,0.233,0.187,0.133,0.413,0.04,0.573,0.107,0.307,0.27,0.497,0.403
1,752,0,0.227,0.177,0.127,0.42,0.04,0.57,0.11,0.29,0.253,0.477,0.403
1,753,1,0.23,0.173,0.12,0.44,0.04,0.56,0.11,0.27,0.253,0.477,0.42
1,754,1,0.23,0.173,0.11,0.437,0.04,0.573,0.103,0.257,0.247,0.47,0.433
1,755,1,0.24,0.187,0.117,0.43,0.04,0.577,0.107,0.26,0.29,0.497,0.447
1,756,1,0.243,0.193,0.113,0.413,0.04,0.58,0.107,0.253,0.303,0.507,0.467
0,757,1,0.243,0.197,0.113,0.413,0.04,0.577,0.107,0.257,0.307,0.513,0.48
1,758,0,0.243,0.193,0.11,0.41,0.04,0.573,0.107,0.257,0.28,0.503,0.49
1,759,1,0.237,0.193,0.11,0.403,0.037,0.563,0.107,0.263,0.26,0.497,0.48
1,760,1,0.233,0.2,0.113,0.403,0.033,0.56,0.113,0.27,0.267,0.5,0.493
0,761,1,0.23,0.217,0.107,0.407,0.03,0.56,0.113,0.273,0.267,0.49,0.51
1,762,0,0.243,0.223,0.103,0.407,0.03,0.557,0.11,0.297,0.267,0.483,0.553
1,763,1,0.253,0.237,0.1,0.407,0.03,0.553,0.11,0.317,0.257,0.487,0.553
0,764,1,0.267,0.23,0.103,0.397,0.03,0.543,0.107,0.34,0.253,0.5,0.54
0,765,0,0.263,0.237,0.107,0.4,0.033,0.553,0.117,0.337,0.26,0.51,0.507
0,766,0,0.263,0.24,0.13,0.413,0.037,0.557,0.17,0.33,0.307,0.517,0.493
1,767,0,0.27,0.247,0.15,0.42,0.037,0.563,0.193,0.327,0.327,0.517,0.49
0,768,1,0.277,0.247,0.177,0.427,0.033,0.57,0.223,0.337,0.367,0.52,0.473
1,769,0,0.28,0.233,0.177,0.42,0.033,0.577,0.19,0.343,0.343,0.513,0.463
1,770,1,0.273,0.223,0.173,0.413,0.037,0.58,0.183,0.347,0.333,0.503,0.45
0,771,1,0.267,0.207,0.163,0.403,0.04,0.57,0.163,0.347,0.297,0.49,0.44
0,772,0,0.243,0.193,0.15,0.39,0.037,0.55,0.163,0.32,0.267,0.447,0.403
1,773,0,0.24,0.19,0.153,0.393,0.037,0.557,0.163,0.323,0.263,0.45,0.4
0,774,1,0.247,0.197,0.17,0.433,0.037,0.567,0.197,0.337,0.273,0.457,0.413
