date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2017-12-09,0,33,0.5,12,3,16.032258064516128,9,22,16,53,24,15,27,1,3,14,59,15,41,2,34,35,34,36,19,7,4,10,1,12,17,23,2,40,2700,52,35,3,19,32,14,63,9,19,26,79,50,16,36,16,16,17,28,17,35,8,16,15,28,21,8,34,12,23,12,24,1,57,60,0,39,6,15,7,20,11,48,34,23,6,5,33,1,14,19,28,10,36,72,15,66,22,39,24,35,2,47,11,61,24329.16015625
2017-12-10,0,29,0.88,10,2,16.161290322580644,9,21,13,47,23,17,28,0,3,17,48,18,44,4,34,36,32,38,18,8,5,12,1,12,16,23,3,43,2300,36,31,2,16,30,13,61,7,14,20,79,45,13,36,16,16,19,28,15,41,8,16,21,34,21,9,34,14,25,12,22,1,60,61,0,35,6,13,10,17,12,47,34,24,6,5,31,1,15,19,24,10,33,69,11,68,18,37,26,35,2,45,12,64,24329.16015625
2017-12-11,0,59,2.03,21,5,16.29032258064516,13,22,18,35,37,22,42,3,6,27,64,18,52,6,37,48,39,49,27,10,5,17,2,15,23,28,6,48,2500,76,32,5,22,32,13,60,20,21,55,73,54,25,31,35,18,18,33,26,48,7,18,17,49,19,14,31,16,40,12,26,1,50,40,0,38,11,27,13,20,17,44,28,21,7,7,54,1,19,24,40,10,62,54,14,62,27,30,27,32,3,45,22,56,24386.029296875
2017-12-12,0,74,1.25,27,6,16.419354838709676,14,22,22,36,39,23,40,3,6,31,63,19,52,5,38,48,40,52,32,10,5,17,2,12,23,28,4,49,2600,75,33,6,23,30,17,59,22,27,56,73,71,25,31,35,17,18,37,28,50,7,18,17,50,19,14,32,16,36,12,26,1,50,36,0,30,10,28,13,19,18,49,30,19,7,8,56,2,18,25,50,10,60,54,12,61,34,28,25,26,3,49,24,53,24504.80078125
2017-12-13,0,69,0.93,25,6,16.548387096774196,15,22,21,37,38,21,39,3,7,28,63,17,49,4,38,44,37,50,28,11,5,18,2,15,24,28,3,49,2500,72,34,6,22,28,16,57,22,25,56,76,70,32,31,37,17,20,32,27,51,7,17,14,48,19,13,31,15,39,11,25,1,49,37,0,30,9,27,12,20,18,47,30,18,8,10,54,2,17,26,46,10,64,52,20,60,31,28,22,26,3,48,22,51,24585.4296875
2017-12-14,0,66,0.96,24,5,16.677419354838708,13,23,21,38,37,22,39,3,6,30,66,19,48,4,39,45,40,47,27,10,5,18,2,14,23,30,3,46,2600,75,34,5,23,27,16,59,22,26,55,73,57,28,31,34,16,17,33,27,50,7,17,15,45,19,14,31,16,38,11,28,1,50,41,0,32,10,28,14,20,16,46,31,18,7,7,52,2,13,27,43,9,57,53,17,59,28,30,28,27,3,49,21,53,24508.66015625
2017-12-15,0,67,1.02,24,5,16.806451612903224,10,22,20,43,35,18,34,3,6,22,76,17,47,3,39,41,38,41,24,9,5,15,2,12,21,27,2,41,2600,74,33,5,28,24,16,60,24,23,56,73,54,24,32,32,16,15,31,23,46,8,17,15,40,19,13,32,15,35,12,21,1,52,50,0,34,8,27,11,19,15,45,31,21,6,5,50,1,14,24,49,9,48,56,13,60,25,33,28,28,3,48,18,56,24651.740234375
2017-12-16,0,34,0.51,12,3,16.935483870967744,9,21,14,56,22,13,26,1,3,14,67,17,44,2,35,33,30,33,17,7,4,10,1,12,14,23,2,38,2700,63,35,3,20,20,14,66,6,26,26,76,45,17,36,16,16,16,27,15,36,8,16,14,25,21,8,36,11,20,12,21,1,57,66,0,37,5,14,7,19,9,46,38,22,5,4,28,1,12,20,33,9,23,71,12,64,21,40,28,35,2,46,8,61,24651.740234375
2017-12-17,0,28,0.82,10,2,17.064516129032256,9,21,13,52,21,15,25,0,3,14,51,15,45,4,35,35,31,32,17,7,4,9,1,12,13,23,2,40,2400,41,32,3,16,17,14,61,6,20,19,75,56,14,36,15,16,14,28,16,37,9,16,13,25,21,8,34,12,19,12,22,1,57,67,0,41,4,12,8,17,10,48,39,26,6,4,27,1,12,20,22,9,25,70,14,67,16,38,22,34,2,44,9,65,24651.740234375
2017-12-18,0,66,2.36,24,5,17.193548387096776,12,22,21,40,35,19,40,3,6,21,68,17,53,6,37,42,36,41,25,10,5,14,1,14,19,26,3,47,2600,84,33,6,23,24,15,61,25,27,57,74,50,25,31,31,18,16,31,24,47,8,17,14,38,19,11,33,14,32,12,21,1,53,47,0,35,8,25,12,19,13,45,34,21,7,4,48,1,12,22,43,9,46,56,14,63,24,32,27,73,3,47,16,57,24792.19921875
2017-12-19,0,80,1.21,28,7,17.322580645161292,13,22,22,40,33,18,38,4,6,21,68,19,49,5,39,38,39,43,28,10,5,14,1,12,20,27,3,45,2800,87,35,7,24,21,16,60,26,31,56,78,56,28,31,31,17,17,32,26,49,8,17,15,39,19,11,32,14,31,12,26,1,52,45,0,28,8,24,15,18,13,44,35,21,7,5,46,1,12,23,46,9,44,57,14,63,30,32,25,59,3,49,17,56,24754.75
2017-12-20,0,82,1.02,30,7,17.451612903225804,14,21,22,41,30,18,38,4,6,24,69,18,48,4,38,33,38,41,27,9,4,12,1,14,18,26,2,45,5500,82,36,7,24,22,17,61,24,35,55,75,55,24,32,31,16,16,33,27,46,8,16,16,37,19,11,32,12,28,13,28,1,52,46,0,36,7,24,11,19,12,42,35,22,6,5,45,1,13,23,41,9,42,56,14,63,35,32,26,36,3,47,15,56,24726.650390625
2017-12-21,0,79,0.96,28,6,17.580645161290324,14,21,22,44,28,16,36,4,5,20,71,19,46,3,39,32,38,40,24,9,4,12,1,12,19,26,2,44,3300,78,35,7,24,22,18,62,22,32,56,78,50,26,31,26,17,19,32,26,47,9,16,15,34,19,12,33,12,25,12,25,1,53,50,0,39,7,23,11,17,10,44,37,22,6,5,37,1,12,22,44,9,31,56,13,63,35,33,28,32,2,45,13,57,24782.2890625
