date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2011-04-15,0,46,0.87,11,2,9.066666666666666,0.21,0.17,0.12,0.46,0.27,0.34,0.44,0.0,0.24,0.2,0.64,0.21,0.64,0.05,0.34,0.39,0.41,0.39,0.37,0.14,0.06,0.16,0.02,0.06,0.22,0.44,0.02,0.39,0.13,0.6,0.31,0.02,0.34,0.27,0.07,0.53,0.06,0.19,0.38,0.46,0.16,0.32,0.32,0.22,0.19,0.11,0.28,0.31,0.25,0.03,0.17,0.14,0.36,0.14,0.2,0.21,0.16,0.38,0.08,0.23,0.0,0.38,0.36,0.0,0.42,0.07,0.21,0.2,0.37,0.16,0.66,0.21,0.22,0.16,0.06,0.58,0.01,0.17,0.26,0.29,0.11,0.31,0.31,0.26,0.41,0.26,0.38,0.35,0.22,0.03,0.66,0.23,0.31,12341.830078125
2011-04-16,0,27,0.59,6,1,9.0,0.14,0.17,0.1,0.58,0.24,0.21,0.34,0.0,0.14,0.17,0.49,0.17,0.47,0.03,0.32,0.32,0.32,0.29,0.23,0.11,0.05,0.1,0.02,0.06,0.18,0.38,0.03,0.35,0.14,0.41,0.3,0.01,0.25,0.25,0.06,0.57,0.03,0.12,0.18,0.51,0.15,0.23,0.33,0.12,0.16,0.1,0.25,0.22,0.2,0.02,0.16,0.13,0.27,0.14,0.16,0.22,0.16,0.26,0.09,0.22,0.0,0.4,0.53,0.0,0.37,0.06,0.13,0.1,0.34,0.12,0.58,0.26,0.24,0.17,0.05,0.37,0.01,0.14,0.27,0.16,0.12,0.17,0.41,0.24,0.42,0.11,0.44,0.23,0.26,0.02,0.72,0.13,0.36,12341.830078125
2011-04-17,0,25,0.93,6,1,8.933333333333334,0.14,0.17,0.08,0.49,0.25,0.22,0.34,0.0,0.14,0.18,0.42,0.18,0.48,0.12,0.32,0.42,0.31,0.33,0.24,0.11,0.06,0.11,0.01,0.05,0.21,0.41,0.04,0.4,0.11,0.32,0.29,0.01,0.21,0.22,0.06,0.57,0.03,0.16,0.17,0.52,0.14,0.17,0.35,0.13,0.17,0.08,0.27,0.21,0.21,0.02,0.18,0.13,0.32,0.14,0.15,0.22,0.17,0.33,0.09,0.24,0.0,0.42,0.49,0.0,0.47,0.08,0.14,0.13,0.31,0.15,0.54,0.27,0.26,0.19,0.06,0.41,0.01,0.24,0.25,0.19,0.13,0.24,0.41,0.27,0.45,0.13,0.47,0.32,0.26,0.03,0.69,0.17,0.38,12341.830078125
2011-04-18,0,60,2.4,14,3,8.866666666666667,0.23,0.18,0.13,0.39,0.36,0.28,0.53,0.01,0.27,0.25,0.6,0.24,0.72,0.11,0.34,0.45,0.41,0.35,0.36,0.17,0.07,0.13,0.02,0.06,0.25,0.44,0.03,0.45,0.13,0.66,0.28,0.03,0.29,0.29,0.06,0.55,0.06,0.16,0.38,0.51,0.19,0.33,0.3,0.25,0.19,0.11,0.29,0.33,0.27,0.03,0.2,0.21,0.44,0.14,0.22,0.24,0.19,0.41,0.07,0.26,0.01,0.41,0.32,0.0,0.42,0.11,0.25,0.23,0.34,0.18,0.59,0.22,0.21,0.21,0.07,0.61,0.01,0.2,0.29,0.23,0.12,0.3,0.34,0.23,0.44,0.28,0.37,0.23,0.23,0.04,0.62,0.26,0.33,12201.58984375
2011-04-19,0,66,1.1,15,4,8.8,0.23,0.18,0.14,0.41,0.35,0.28,0.51,0.01,0.15,0.24,0.55,0.22,0.44,0.08,0.34,0.45,0.42,0.38,0.38,0.17,0.06,0.12,0.02,0.06,0.26,0.47,0.04,0.45,0.14,0.57,0.3,0.03,0.28,0.31,0.06,0.53,0.07,0.15,0.36,0.53,0.22,0.3,0.32,0.32,0.19,0.09,0.3,0.33,0.29,0.03,0.19,0.16,0.45,0.15,0.22,0.24,0.18,0.42,0.08,0.27,0.0,0.41,0.3,0.0,0.35,0.09,0.24,0.27,0.34,0.21,0.62,0.23,0.24,0.21,0.07,0.6,0.01,0.21,0.27,0.25,0.12,0.36,0.32,0.23,0.41,0.28,0.35,0.31,0.22,0.04,0.6,0.26,0.32,12266.75
2011-04-20,0,52,0.79,12,3,8.733333333333334,0.22,0.18,0.14,0.42,0.33,0.28,0.53,0.01,0.13,0.25,0.54,0.24,0.36,0.06,0.32,0.43,0.44,0.41,0.39,0.18,0.06,0.13,0.02,0.06,0.27,0.43,0.04,0.44,0.14,0.52,0.3,0.02,0.28,0.27,0.07,0.53,0.07,0.13,0.37,0.52,0.16,0.3,0.31,0.27,0.18,0.06,0.28,0.34,0.26,0.03,0.19,0.17,0.45,0.15,0.21,0.24,0.17,0.41,0.1,0.25,0.0,0.43,0.3,0.0,0.4,0.1,0.24,0.38,0.35,0.18,0.59,0.21,0.22,0.19,0.07,0.6,0.01,0.2,0.27,0.29,0.12,0.32,0.32,0.28,0.42,0.23,0.35,0.25,0.22,0.04,0.62,0.25,0.35,12453.5400390625
2011-04-21,0,70,1.35,16,4,8.666666666666666,0.2,0.19,0.13,0.43,0.33,0.32,0.47,0.01,0.11,0.2,0.54,0.24,0.33,0.05,0.32,0.46,0.43,0.36,0.34,0.18,0.06,0.13,0.02,0.04,0.26,0.41,0.04,0.45,0.14,0.52,0.28,0.03,0.29,0.28,0.08,0.52,0.09,0.11,0.38,0.49,0.15,0.33,0.32,0.29,0.18,0.06,0.27,0.32,0.24,0.03,0.19,0.15,0.42,0.15,0.23,0.23,0.17,0.37,0.07,0.23,0.0,0.41,0.32,0.0,0.35,0.08,0.23,0.31,0.33,0.17,0.59,0.2,0.24,0.18,0.07,0.54,0.01,0.19,0.29,0.33,0.13,0.3,0.31,0.31,0.41,0.25,0.35,0.25,0.23,0.03,0.63,0.26,0.33,12505.990234375
2011-04-22,0,100,1.43,23,5,8.6,0.15,0.18,0.11,0.48,0.23,0.26,0.44,0.01,0.07,0.2,0.57,0.27,0.3,0.05,0.32,0.41,0.35,0.3,0.31,0.15,0.05,0.11,0.02,0.06,0.2,0.4,0.03,0.47,0.13,0.56,0.31,0.04,0.32,0.21,0.08,0.54,0.05,0.1,0.28,0.52,0.14,0.26,0.31,0.25,0.16,0.05,0.26,0.29,0.21,0.03,0.2,0.14,0.34,0.15,0.17,0.23,0.14,0.29,0.08,0.24,0.01,0.4,0.42,0.0,0.38,0.07,0.19,0.15,0.32,0.13,0.59,0.23,0.19,0.14,0.05,0.5,0.01,0.16,0.25,0.22,0.12,0.26,0.33,0.25,0.41,0.26,0.39,0.23,0.23,0.03,0.68,0.22,0.32,12505.990234375
2011-04-23,0,23,0.23,5,1,8.533333333333333,0.13,0.19,0.09,0.55,0.22,0.23,0.34,0.0,0.04,0.14,0.44,0.19,0.28,0.03,0.31,0.39,0.3,0.3,0.23,0.11,0.05,0.1,0.01,0.05,0.16,0.34,0.04,0.37,0.13,0.36,0.29,0.01,0.23,0.17,0.07,0.58,0.03,0.09,0.17,0.55,0.15,0.18,0.33,0.15,0.16,0.05,0.26,0.22,0.19,0.02,0.2,0.15,0.27,0.15,0.14,0.23,0.15,0.26,0.07,0.27,0.0,0.46,0.51,0.0,0.46,0.05,0.12,0.12,0.3,0.13,0.57,0.27,0.29,0.16,0.05,0.34,0.0,0.14,0.22,0.17,0.13,0.17,0.41,0.23,0.42,0.17,0.44,0.25,0.25,0.02,0.72,0.15,0.38,12505.990234375
2011-04-24,0,20,0.87,5,1,8.466666666666667,0.13,0.17,0.09,0.48,0.25,0.24,0.31,0.0,0.04,0.17,0.33,0.18,0.26,0.11,0.31,0.59,0.31,0.31,0.24,0.12,0.06,0.1,0.01,0.03,0.15,0.35,0.04,0.37,0.12,0.29,0.26,0.01,0.18,0.21,0.12,0.56,0.01,0.09,0.15,0.45,0.16,0.14,0.32,0.16,0.17,0.05,0.26,0.24,0.19,0.03,0.19,0.14,0.29,0.14,0.14,0.21,0.17,0.28,0.09,0.25,0.0,0.42,0.5,0.0,0.51,0.05,0.12,0.09,0.25,0.15,0.59,0.25,0.36,0.17,0.06,0.33,0.01,0.2,0.24,0.15,0.14,0.23,0.37,0.15,0.43,0.1,0.43,0.23,0.25,0.03,0.67,0.14,0.38,12505.990234375
2011-04-25,0,56,2.8,13,3,8.4,0.18,0.19,0.12,0.37,0.33,0.35,0.51,0.01,0.12,0.24,0.54,0.25,0.33,0.11,0.32,0.47,0.4,0.38,0.36,0.17,0.08,0.11,0.02,0.05,0.26,0.44,0.04,0.45,0.14,0.54,0.29,0.02,0.29,0.25,0.06,0.57,0.07,0.11,0.36,0.52,0.19,0.29,0.32,0.29,0.2,0.06,0.31,0.29,0.3,0.03,0.2,0.15,0.41,0.14,0.22,0.23,0.2,0.39,0.09,0.31,0.0,0.39,0.32,0.0,0.46,0.08,0.25,0.23,0.34,0.2,0.59,0.22,0.24,0.18,0.07,0.6,0.01,0.21,0.28,0.26,0.13,0.35,0.33,0.24,0.44,0.3,0.37,0.38,0.23,0.05,0.56,0.28,0.36,12479.8798828125
2011-04-26,0,47,0.84,11,2,8.333333333333334,0.19,0.19,0.14,0.38,0.35,0.36,0.53,0.01,0.12,0.28,0.56,0.21,0.35,0.08,0.34,0.45,0.43,0.4,0.41,0.17,0.08,0.12,0.03,0.06,0.31,0.48,0.03,0.46,0.14,0.54,0.28,0.02,0.26,0.27,0.06,0.53,0.09,0.13,0.38,0.54,0.18,0.31,0.32,0.28,0.2,0.06,0.29,0.32,0.29,0.02,0.19,0.14,0.42,0.15,0.25,0.24,0.2,0.48,0.08,0.25,0.0,0.39,0.29,0.0,0.46,0.1,0.24,0.26,0.36,0.19,0.59,0.22,0.23,0.23,0.08,0.61,0.01,0.21,0.29,0.29,0.12,0.39,0.3,0.22,0.42,0.23,0.34,0.23,0.2,0.04,0.56,0.27,0.34,12595.3701171875
