Date,start,adjusted,unadjusted,monthly
2005-07-16,0,1,50,7.0
2005-07-17,0,1,39,7.0
2005-07-18,0,1,56,7.0
2005-07-19,0,1,44,7.0
2005-07-20,0,2,23,7.0
2005-07-21,0,1,35,7.0
2005-07-22,0,2,59,7.0
2005-07-23,0,1,23,7.0
2005-07-24,0,1,51,7.0
2005-07-25,0,1,49,7.0
2005-07-26,0,2,48,7.0
2005-07-27,0,1,47,7.0
2005-07-28,0,1,40,7.0
2005-07-29,0,2,57,7.0
2005-07-30,0,1,38,7.0
2005-07-31,0,2,62,7.0
2005-08-01,0,2,43,7.0
2005-08-02,0,1,53,7.03225806451613
2005-08-03,0,2,45,7.064516129032258
2005-08-04,0,1,48,7.096774193548387
2005-08-05,0,2,63,7.129032258064517
2005-08-06,0,1,41,7.161290322580645
2005-08-07,0,1,23,7.193548387096773
2005-08-08,0,2,39,7.225806451612903
2005-08-09,0,1,43,7.258064516129032
2005-08-10,0,2,57,7.290322580645161
2005-08-11,0,2,59,7.32258064516129
2005-08-12,0,2,57,7.354838709677418
2005-08-13,0,1,26,7.387096774193548
2005-08-14,0,1,37,7.419354838709677
2005-08-15,0,2,56,7.451612903225807
2005-08-16,0,1,41,7.483870967741937
2005-08-17,0,1,47,7.516129032258063
2005-08-18,0,2,68,7.548387096774193
2005-08-19,0,2,57,7.580645161290323
2005-08-20,0,1,53,7.612903225806452
2005-08-21,0,1,18,7.645161290322582
2005-08-22,0,1,39,7.67741935483871
2005-08-23,0,2,56,7.709677419354839
2005-08-24,0,1,26,7.741935483870968
2005-08-25,0,1,34,7.774193548387097
2005-08-26,0,1,49,7.806451612903227
2005-08-27,0,1,35,7.838709677419355
2005-08-28,0,1,31,7.870967741935483
2005-08-29,0,2,48,7.903225806451613
2005-08-30,0,2,43,7.935483870967742
2005-08-31,0,2,71,7.96774193548387
2005-09-01,0,2,61,8.0
2005-09-02,0,2,66,8.066666666666666
2005-09-03,0,1,32,8.133333333333333
2005-09-04,0,1,41,8.2
2005-09-05,0,1,38,8.266666666666667
2005-09-06,0,2,69,8.333333333333334
2005-09-07,0,2,59,8.4
2005-09-08,0,2,47,8.466666666666667
2005-09-09,0,2,68,8.533333333333333
2005-09-10,0,1,40,8.6
2005-09-11,0,1,23,8.666666666666666
2005-09-12,0,2,48,8.733333333333333
2005-09-13,0,2,59,8.8
2005-09-14,0,2,57,8.866666666666667
2005-09-15,0,2,48,8.933333333333334
2005-09-16,0,2,55,9.0
2005-09-17,0,2,43,9.066666666666666
2005-09-18,0,2,23,9.133333333333333
2005-09-19,0,2,66,9.2
2005-09-20,0,2,66,9.266666666666666
2005-09-21,0,1,52,9.333333333333334
2005-09-22,0,2,48,9.4
2005-09-23,0,2,58,9.466666666666667
2005-09-24,0,1,30,9.533333333333333
2005-09-25,0,1,48,9.6
2005-09-26,0,2,41,9.666666666666666
2005-09-27,0,2,69,9.733333333333334
2005-09-28,0,2,54,9.8
2005-09-29,0,2,49,9.866666666666667
2005-09-30,0,2,76,9.933333333333334
2005-10-01,0,1,44,10.0
2005-10-02,0,1,48,10.0
2005-10-03,0,2,42,10.0
2005-10-04,0,2,70,10.0
2005-10-05,0,3,68,10.0
2005-10-06,0,2,79,10.0
2005-10-07,0,2,81,10.0
2005-10-08,0,1,32,10.0
2005-10-09,0,1,51,10.0
2005-10-10,0,3,72,10.0
2005-10-11,0,2,66,10.0
2005-10-12,0,2,59,10.0
2005-10-13,0,2,46,10.0
2005-10-14,0,2,80,10.0
2005-10-15,0,1,39,10.0
2005-10-16,0,1,31,10.0
2005-10-17,0,2,69,10.0
2005-10-18,0,2,64,10.0
2005-10-19,0,2,55,10.0
2005-10-20,0,2,50,10.0
2005-10-21,0,2,54,10.0
2005-10-22,0,1,37,10.0
2005-10-23,0,1,54,10.0
2005-10-24,0,2,68,10.0
2005-10-25,0,2,74,10.0
2005-10-26,0,2,70,10.0
2005-10-27,0,2,64,10.0
2005-10-28,0,2,47,10.0
2005-10-29,0,1,39,10.0
2005-10-30,0,2,45,10.0
2005-10-31,0,2,52,10.0
2005-11-01,0,2,65,10.0
2005-11-02,0,2,80,9.966666666666667
2005-11-03,0,2,85,9.933333333333334
2005-11-04,0,2,65,9.9
2005-11-05,0,1,34,9.866666666666667
2005-11-06,0,1,51,9.833333333333334
2005-11-07,0,2,64,9.8
2005-11-08,0,2,74,9.766666666666667
2005-11-09,0,2,55,9.733333333333333
2005-11-10,0,2,93,9.7
2005-11-11,0,3,76,9.666666666666666
2005-11-12,0,1,30,9.633333333333333
2005-11-13,0,2,63,9.6
2005-11-14,0,2,74,9.566666666666666
2005-11-15,0,2,81,9.533333333333333
2005-11-16,0,2,67,9.5
2005-11-17,0,2,62,9.466666666666667
2005-11-18,0,2,54,9.433333333333334
2005-11-19,0,2,45,9.4
2005-11-20,0,1,39,9.366666666666667
2005-11-21,0,3,76,9.333333333333334
2005-11-22,0,3,88,9.3
2005-11-23,0,2,100,9.266666666666667
2005-11-24,0,2,49,9.233333333333334
2005-11-25,0,3,82,9.2
2005-11-26,0,2,24,9.166666666666666
2005-11-27,0,1,57,9.133333333333333
2005-11-28,0,2,93,9.1
2005-11-29,0,2,77,9.066666666666666
2005-11-30,0,2,75,9.033333333333333
2005-12-01,0,2,52,9.0
2005-12-02,0,2,81,9.064516129032258
2005-12-03,0,1,22,9.129032258064516
2005-12-04,0,1,71,9.193548387096774
2005-12-05,0,2,62,9.258064516129034
2005-12-06,0,2,74,9.322580645161288
2005-12-07,0,2,60,9.387096774193546
2005-12-08,0,2,88,9.451612903225808
2005-12-09,0,2,54,9.516129032258064
2005-12-10,0,1,44,9.580645161290322
2005-12-11,0,1,45,9.64516129032258
2005-12-12,0,2,62,9.709677419354838
2005-12-13,0,2,49,9.774193548387096
2005-12-14,0,2,53,9.838709677419354
2005-12-15,0,2,81,9.903225806451612
2005-12-16,0,2,58,9.967741935483874
