Date,adjusted,unadjusted,monthly
2005-03-19,2,60,10.838709677419356
2005-03-20,2,45,10.774193548387096
2005-03-21,2,62,10.709677419354838
2005-03-22,3,49,10.64516129032258
2005-03-23,3,94,10.580645161290322
2005-03-24,3,81,10.516129032258064
2005-03-25,3,56,10.451612903225806
2005-03-26,1,41,10.387096774193548
2005-03-27,2,54,10.32258064516129
2005-03-28,2,59,10.258064516129032
2005-03-29,3,72,10.193548387096774
2005-03-30,2,64,10.129032258064516
2005-03-31,3,70,10.064516129032258
2005-04-01,3,73,10.0
2005-04-02,1,41,9.933333333333334
2005-04-03,2,55,9.866666666666667
2005-04-04,3,71,9.8
2005-04-05,3,69,9.733333333333333
2005-04-06,3,67,9.666666666666666
2005-04-07,3,68,9.6
2005-04-08,2,60,9.533333333333333
2005-04-09,1,44,9.466666666666667
2005-04-10,2,66,9.4
2005-04-11,2,69,9.333333333333334
2005-04-12,3,70,9.266666666666667
2005-04-13,2,66,9.2
2005-04-14,3,69,9.133333333333333
2005-04-15,3,79,9.066666666666666
2005-04-16,2,55,9.0
2005-04-17,2,66,8.933333333333334
2005-04-18,3,72,8.866666666666667
2005-04-19,3,90,8.8
2005-04-20,2,78,8.733333333333334
2005-04-21,2,77,8.666666666666666
2005-04-22,2,67,8.6
2005-04-23,2,49,8.533333333333333
2005-04-24,2,32,8.466666666666667
2005-04-25,2,60,8.4
2005-04-26,3,78,8.333333333333334
2005-04-27,3,73,8.266666666666666
2005-04-28,3,59,8.2
2005-04-29,2,64,8.133333333333333
2005-04-30,2,29,8.066666666666666
2005-05-01,2,52,8.0
2005-05-02,2,75,8.0
2005-05-03,2,69,8.0
2005-05-04,2,52,8.0
2005-05-05,2,49,8.0
2005-05-06,3,63,8.0
2005-05-07,1,19,8.0
2005-05-08,2,54,8.0
2005-05-09,2,51,8.0
2005-05-10,2,68,8.0
2005-05-11,2,62,8.0
2005-05-12,2,56,8.0
2005-05-13,2,53,8.0
2005-05-14,1,32,8.0
2005-05-15,1,26,8.0
2005-05-16,2,69,8.0
2005-05-17,2,47,8.0
2005-05-18,2,71,8.0
2005-05-19,2,71,8.0
2005-05-20,3,69,8.0
2005-05-21,1,40,8.0
2005-05-22,2,37,8.0
2005-05-23,2,34,8.0
2005-05-24,1,33,8.0
2005-05-25,2,63,8.0
2005-05-26,2,65,8.0
2005-05-27,2,49,8.0
2005-05-28,2,26,8.0
2005-05-29,1,24,8.0
2005-05-30,1,37,8.0
2005-05-31,2,53,8.0
2005-06-01,2,63,8.0
2005-06-02,2,60,7.966666666666667
2005-06-03,2,49,7.933333333333334
2005-06-04,2,34,7.9
2005-06-05,2,29,7.866666666666666
2005-06-06,2,70,7.833333333333333
2005-06-07,2,51,7.8
2005-06-08,1,65,7.766666666666667
2005-06-09,2,55,7.733333333333333
2005-06-10,2,55,7.7
2005-06-11,1,26,7.666666666666667
2005-06-12,1,27,7.633333333333334
2005-06-13,1,31,7.6
2005-06-14,2,44,7.566666666666666
2005-06-15,2,56,7.533333333333333
2005-06-16,1,41,7.5
2005-06-17,1,32,7.466666666666667
2005-06-18,1,35,7.433333333333334
2005-06-19,1,34,7.4
2005-06-20,2,48,7.366666666666667
2005-06-21,2,48,7.333333333333333
2005-06-22,2,53,7.3
2005-06-23,2,47,7.266666666666667
2005-06-24,2,54,7.233333333333333
2005-06-25,1,30,7.2
2005-06-26,1,49,7.166666666666667
2005-06-27,2,61,7.133333333333333
2005-06-28,2,70,7.1
2005-06-29,2,49,7.066666666666666
2005-06-30,2,37,7.033333333333333
2005-07-01,1,38,7.0
2005-07-02,1,34,7.0
2005-07-03,1,32,7.0
2005-07-04,1,36,7.0
2005-07-05,2,45,7.0
2005-07-06,2,41,7.0
2005-07-07,2,39,7.0
2005-07-08,2,60,7.0
2005-07-09,1,27,7.0
2005-07-10,2,27,7.0
2005-07-11,2,61,7.0
2005-07-12,2,47,7.0
2005-07-13,1,45,7.0
2005-07-14,1,49,7.0
2005-07-15,2,40,7.0
2005-07-16,1,50,7.0
2005-07-17,1,39,7.0
2005-07-18,1,56,7.0
2005-07-19,1,44,7.0
2005-07-20,2,23,7.0
2005-07-21,1,35,7.0
2005-07-22,2,59,7.0
2005-07-23,1,23,7.0
2005-07-24,1,51,7.0
2005-07-25,1,49,7.0
2005-07-26,2,48,7.0
